dataset,regime,seed,proxy_size,proxy_sha256,proxy_labels_sha256,proxy_master_sha256,fallback_count,mean_selected_teachers
mnist,alpha1p0,42,5000,2a3625de78f960a0255407c167a7af8346444a5d2ed34c26e19241c7a426cb49,193f013239a4f0a41c547559e97a99aa587711de610af28b73905ccc7ce03709,d6100cfa5d3571a1ff2c6b7927e7a5cc702b95806e13423a2da32c102d68c20d,0,8.5
mnist,alpha1p0,42,10000,d6100cfa5d3571a1ff2c6b7927e7a5cc702b95806e13423a2da32c102d68c20d,c675c07ca4b404432cdfca8572fe34493de68ea756a4b3ee7c70ec17714a925c,d6100cfa5d3571a1ff2c6b7927e7a5cc702b95806e13423a2da32c102d68c20d,0,8.5
mnist,alpha1p0,43,100,9a9ddeebd4e6fafd92a189c6679c575a23cf1a7b9e1a3e82494dfb8f6df4600d,dd9763b90ad8d04cbd11489eac3be3343cddd9673d2d04b9fddc384701688bcb,107efb320922a5311b91b47974f03876544bfaeb39719aa1e062bfdf103fd6e0,0,8.7
mnist,alpha1p0,43,500,272a423dce812bdc5da48a9ec90631c345af7c40a911d3cf8da686bc14cba7ec,11ca0f9c01a40d126fecaa09efb9c1e0037045a94c28724fd0753f5cf81193fb,107efb320922a5311b91b47974f03876544bfaeb39719aa1e062bfdf103fd6e0,0,8.7
mnist,alpha1p0,43,1000,3ad42bcf3ff50ed1074d47600568a8b850e600a8f231ac09206e20c675d4a5e2,ca3db92fd9f9868658da570a6a731e9c20faeb3f17a1381485acb8e8c1cac814,107efb320922a5311b91b47974f03876544bfaeb39719aa1e062bfdf103fd6e0,0,8.7
mnist,alpha1p0,43,5000,429a0d33da6605adb1b45f5a5f10e90b2f02f0390b21de835d81e5a4250b518a,b8c2997559103d4906024f71aa6584ff1b80faa47ea0a53bac126a193c473bd3,107efb320922a5311b91b47974f03876544bfaeb39719aa1e062bfdf103fd6e0,0,8.7
mnist,alpha1p0,43,10000,107efb320922a5311b91b47974f03876544bfaeb39719aa1e062bfdf103fd6e0,0ef12c320cfa1f93a852406370e80eb0b1e4b1731704727c3a1f9b691f1c9e9f,107efb320922a5311b91b47974f03876544bfaeb39719aa1e062bfdf103fd6e0,0,8.7
mnist,alpha1p0,44,100,8f401c46e5bc457ba9d25d09da1f419e4a51d0efd182ba16b9ef68918cbe7140,02672db1151865f69e8ed692173c20d20a5bad3c440cc739c68fda9831f01eb1,0c710d4d5b2c5e064b2444fd8c0541add01b6425e0bc35a453b2dc93767844dd,0,8.3
mnist,alpha1p0,44,500,b3db1590ce0f6f8d44070b38aa6cf8faa586a99d66bcb50f14617443ff2e63b0,52779ac8ba00bf0e6d43917613380f8bae3bf4fde8d6adfd8b98ccb9807abf28,0c710d4d5b2c5e064b2444fd8c0541add01b6425e0bc35a453b2dc93767844dd,0,8.3
mnist,alpha1p0,44,1000,beb76360e70048c222575ecf28fb3090cc7149ed8c4a72247d91e0a5598fb50e,bf97066a3547a76a193ab3866fc75d66744c01c88164615a3e638716b2a74633,0c710d4d5b2c5e064b2444fd8c0541add01b6425e0bc35a453b2dc93767844dd,0,8.3
mnist,alpha1p0,44,5000,34f7a36a5a656e7442fd488b9be649c06c7cdbd669cb60075df0feb5ddf5c4fb,6e49985820f7c9db14e7a42cbbfc23bba262bfde44321e80a3521d0cdbb98e88,0c710d4d5b2c5e064b2444fd8c0541add01b6425e0bc35a453b2dc93767844dd,0,8.3
mnist,alpha1p0,44,10000,0c710d4d5b2c5e064b2444fd8c0541add01b6425e0bc35a453b2dc93767844dd,a96d9b64b59dbeb37ade490f77bbe3b7b6d8967aca976988020a1c572b3711a9,0c710d4d5b2c5e064b2444fd8c0541add01b6425e0bc35a453b2dc93767844dd,0,8.3
mnist,alpha0p5,42,100,0cef88d851db2091670955305e7868340ae2028f964f90f898f73e5e3994c3cd,17155aeb44f8bda0bf9f4b109d7ea93e1ea18a25ae5cb3a630ad55a71c82203b,d6100cfa5d3571a1ff2c6b7927e7a5cc702b95806e13423a2da32c102d68c20d,0,7.3
mnist,alpha0p5,42,500,4e8ffb47a54ee180562fe04600aadf514cfcbe275a49ec5ac04626a32e0f8d15,2fbf40d718a7ca759ad4e22feb09dbf015369fa6c86ec3ea3e7f3410b5bf5403,d6100cfa5d3571a1ff2c6b7927e7a5cc702b95806e13423a2da32c102d68c20d,0,7.3
mnist,alpha0p5,42,1000,a47911cb7fe67bdd4ff22575849b5f15f023ef39eb78fc1eacb064ff60feb226,b9911429f30f1d5c8b6cd999c2e0b31d2c4af12a9206c75bfa77d1307749b7d6,d6100cfa5d3571a1ff2c6b7927e7a5cc702b95806e13423a2da32c102d68c20d,0,7.3
mnist,alpha0p5,42,5000,2a3625de78f960a0255407c167a7af8346444a5d2ed34c26e19241c7a426cb49,193f013239a4f0a41c547559e97a99aa587711de610af28b73905ccc7ce03709,d6100cfa5d3571a1ff2c6b7927e7a5cc702b95806e13423a2da32c102d68c20d,0,7.3
mnist,alpha0p5,42,10000,d6100cfa5d3571a1ff2c6b7927e7a5cc702b95806e13423a2da32c102d68c20d,c675c07ca4b404432cdfca8572fe34493de68ea756a4b3ee7c70ec17714a925c,d6100cfa5d3571a1ff2c6b7927e7a5cc702b95806e13423a2da32c102d68c20d,0,7.3
mnist,alpha0p5,43,100,9a9ddeebd4e6fafd92a189c6679c575a23cf1a7b9e1a3e82494dfb8f6df4600d,dd9763b90ad8d04cbd11489eac3be3343cddd9673d2d04b9fddc384701688bcb,107efb320922a5311b91b47974f03876544bfaeb39719aa1e062bfdf103fd6e0,0,7.3
mnist,alpha0p5,43,500,272a423dce812bdc5da48a9ec90631c345af7c40a911d3cf8da686bc14cba7ec,11ca0f9c01a40d126fecaa09efb9c1e0037045a94c28724fd0753f5cf81193fb,107efb320922a5311b91b47974f03876544bfaeb39719aa1e062bfdf103fd6e0,0,7.3
mnist,alpha0p5,43,1000,3ad42bcf3ff50ed1074d47600568a8b850e600a8f231ac09206e20c675d4a5e2,ca3db92fd9f9868658da570a6a731e9c20faeb3f17a1381485acb8e8c1cac814,107efb320922a5311b91b47974f03876544bfaeb39719aa1e062bfdf103fd6e0,0,7.3
mnist,alpha0p5,43,5000,429a0d33da6605adb1b45f5a5f10e90b2f02f0390b21de835d81e5a4250b518a,b8c2997559103d4906024f71aa6584ff1b80faa47ea0a53bac126a193c473bd3,107efb320922a5311b91b47974f03876544bfaeb39719aa1e062bfdf103fd6e0,0,7.3
mnist,alpha0p5,43,10000,107efb320922a5311b91b47974f03876544bfaeb39719aa1e062bfdf103fd6e0,0ef12c320cfa1f93a852406370e80eb0b1e4b1731704727c3a1f9b691f1c9e9f,107efb320922a5311b91b47974f03876544bfaeb39719aa1e062bfdf103fd6e0,0,7.3
mnist,alpha0p5,44,100,8f401c46e5bc457ba9d25d09da1f419e4a51d0efd182ba16b9ef68918cbe7140,02672db1151865f69e8ed692173c20d20a5bad3c440cc739c68fda9831f01eb1,0c710d4d5b2c5e064b2444fd8c0541add01b6425e0bc35a453b2dc93767844dd,0,7.6
mnist,alpha0p5,44,500,b3db1590ce0f6f8d44070b38aa6cf8faa586a99d66bcb50f14617443ff2e63b0,52779ac8ba00bf0e6d43917613380f8bae3bf4fde8d6adfd8b98ccb9807abf28,0c710d4d5b2c5e064b2444fd8c0541add01b6425e0bc35a453b2dc93767844dd,0,7.6
mnist,alpha0p5,44,1000,beb76360e70048c222575ecf28fb3090cc7149ed8c4a72247d91e0a5598fb50e,bf97066a3547a76a193ab3866fc75d66744c01c88164615a3e638716b2a74633,0c710d4d5b2c5e064b2444fd8c0541add01b6425e0bc35a453b2dc93767844dd,0,7.6
mnist,alpha0p5,44,5000,34f7a36a5a656e7442fd488b9be649c06c7cdbd669cb60075df0feb5ddf5c4fb,6e49985820f7c9db14e7a42cbbfc23bba262bfde44321e80a3521d0cdbb98e88,0c710d4d5b2c5e064b2444fd8c0541add01b6425e0bc35a453b2dc93767844dd,0,7.6
mnist,alpha0p5,44,10000,0c710d4d5b2c5e064b2444fd8c0541add01b6425e0bc35a453b2dc93767844dd,a96d9b64b59dbeb37ade490f77bbe3b7b6d8967aca976988020a1c572b3711a9,0c710d4d5b2c5e064b2444fd8c0541add01b6425e0bc35a453b2dc93767844dd,0,7.6
mnist,alpha0p1,42,100,0cef88d851db2091670955305e7868340ae2028f964f90f898f73e5e3994c3cd,17155aeb44f8bda0bf9f4b109d7ea93e1ea18a25ae5cb3a630ad55a71c82203b,d6100cfa5d3571a1ff2c6b7927e7a5cc702b95806e13423a2da32c102d68c20d,0,4.8
mnist,alpha0p1,42,500,4e8ffb47a54ee180562fe04600aadf514cfcbe275a49ec5ac04626a32e0f8d15,2fbf40d718a7ca759ad4e22feb09dbf015369fa6c86ec3ea3e7f3410b5bf5403,d6100cfa5d3571a1ff2c6b7927e7a5cc702b95806e13423a2da32c102d68c20d,0,4.8
mnist,alpha0p1,42,1000,a47911cb7fe67bdd4ff22575849b5f15f023ef39eb78fc1eacb064ff60feb226,b9911429f30f1d5c8b6cd999c2e0b31d2c4af12a9206c75bfa77d1307749b7d6,d6100cfa5d3571a1ff2c6b7927e7a5cc702b95806e13423a2da32c102d68c20d,0,4.8
mnist,alpha0p1,42,5000,2a3625de78f960a0255407c167a7af8346444a5d2ed34c26e19241c7a426cb49,193f013239a4f0a41c547559e97a99aa587711de610af28b73905ccc7ce03709,d6100cfa5d3571a1ff2c6b7927e7a5cc702b95806e13423a2da32c102d68c20d,0,4.8
mnist,alpha0p1,42,10000,d6100cfa5d3571a1ff2c6b7927e7a5cc702b95806e13423a2da32c102d68c20d,c675c07ca4b404432cdfca8572fe34493de68ea756a4b3ee7c70ec17714a925c,d6100cfa5d3571a1ff2c6b7927e7a5cc702b95806e13423a2da32c102d68c20d,0,4.8
mnist,alpha0p1,43,100,9a9ddeebd4e6fafd92a189c6679c575a23cf1a7b9e1a3e82494dfb8f6df4600d,dd9763b90ad8d04cbd11489eac3be3343cddd9673d2d04b9fddc384701688bcb,107efb320922a5311b91b47974f03876544bfaeb39719aa1e062bfdf103fd6e0,0,3.3
mnist,alpha0p1,43,500,272a423dce812bdc5da48a9ec90631c345af7c40a911d3cf8da686bc14cba7ec,11ca0f9c01a40d126fecaa09efb9c1e0037045a94c28724fd0753f5cf81193fb,107efb320922a5311b91b47974f03876544bfaeb39719aa1e062bfdf103fd6e0,0,3.3
mnist,alpha0p1,43,1000,3ad42bcf3ff50ed1074d47600568a8b850e600a8f231ac09206e20c675d4a5e2,ca3db92fd9f9868658da570a6a731e9c20faeb3f17a1381485acb8e8c1cac814,107efb320922a5311b91b47974f03876544bfaeb39719aa1e062bfdf103fd6e0,0,3.3
mnist,alpha0p1,43,5000,429a0d33da6605adb1b45f5a5f10e90b2f02f0390b21de835d81e5a4250b518a,b8c2997559103d4906024f71aa6584ff1b80faa47ea0a53bac126a193c473bd3,107efb320922a5311b91b47974f03876544bfaeb39719aa1e062bfdf103fd6e0,0,3.3
mnist,alpha0p1,43,10000,107efb320922a5311b91b47974f03876544bfaeb39719aa1e062bfdf103fd6e0,0ef12c320cfa1f93a852406370e80eb0b1e4b1731704727c3a1f9b691f1c9e9f,107efb320922a5311b91b47974f03876544bfaeb39719aa1e062bfdf103fd6e0,0,3.3
mnist,alpha0p1,44,100,8f401c46e5bc457ba9d25d09da1f419e4a51d0efd182ba16b9ef68918cbe7140,02672db1151865f69e8ed692173c20d20a5bad3c440cc739c68fda9831f01eb1,0c710d4d5b2c5e064b2444fd8c0541add01b6425e0bc35a453b2dc93767844dd,0,4.1
mnist,alpha0p1,44,500,b3db1590ce0f6f8d44070b38aa6cf8faa586a99d66bcb50f14617443ff2e63b0,52779ac8ba00bf0e6d43917613380f8bae3bf4fde8d6adfd8b98ccb9807abf28,0c710d4d5b2c5e064b2444fd8c0541add01b6425e0bc35a453b2dc93767844dd,0,4.1
mnist,alpha0p1,44,1000,beb76360e70048c222575ecf28fb3090cc7149ed8c4a72247d91e0a5598fb50e,bf97066a3547a76a193ab3866fc75d66744c01c88164615a3e638716b2a74633,0c710d4d5b2c5e064b2444fd8c0541add01b6425e0bc35a453b2dc93767844dd,0,4.1
mnist,alpha0p1,44,5000,34f7a36a5a656e7442fd488b9be649c06c7cdbd669cb60075df0feb5ddf5c4fb,6e49985820f7c9db14e7a42cbbfc23bba262bfde44321e80a3521d0cdbb98e88,0c710d4d5b2c5e064b2444fd8c0541add01b6425e0bc35a453b2dc93767844dd,0,4.1
mnist,alpha0p1,44,10000,0c710d4d5b2c5e064b2444fd8c0541add01b6425e0bc35a453b2dc93767844dd,a96d9b64b59dbeb37ade490f77bbe3b7b6d8967aca976988020a1c572b3711a9,0c710d4d5b2c5e064b2444fd8c0541add01b6425e0bc35a453b2dc93767844dd,0,4.1
mnist,multi,42,100,0cef88d851db2091670955305e7868340ae2028f964f90f898f73e5e3994c3cd,17155aeb44f8bda0bf9f4b109d7ea93e1ea18a25ae5cb3a630ad55a71c82203b,d6100cfa5d3571a1ff2c6b7927e7a5cc702b95806e13423a2da32c102d68c20d,0,2.0
mnist,multi,42,500,4e8ffb47a54ee180562fe04600aadf514cfcbe275a49ec5ac04626a32e0f8d15,2fbf40d718a7ca759ad4e22feb09dbf015369fa6c86ec3ea3e7f3410b5bf5403,d6100cfa5d3571a1ff2c6b7927e7a5cc702b95806e13423a2da32c102d68c20d,0,2.0
mnist,multi,42,1000,a47911cb7fe67bdd4ff22575849b5f15f023ef39eb78fc1eacb064ff60feb226,b9911429f30f1d5c8b6cd999c2e0b31d2c4af12a9206c75bfa77d1307749b7d6,d6100cfa5d3571a1ff2c6b7927e7a5cc702b95806e13423a2da32c102d68c20d,0,2.0
mnist,multi,42,5000,2a3625de78f960a0255407c167a7af8346444a5d2ed34c26e19241c7a426cb49,193f013239a4f0a41c547559e97a99aa587711de610af28b73905ccc7ce03709,d6100cfa5d3571a1ff2c6b7927e7a5cc702b95806e13423a2da32c102d68c20d,0,2.0
mnist,multi,42,10000,d6100cfa5d3571a1ff2c6b7927e7a5cc702b95806e13423a2da32c102d68c20d,c675c07ca4b404432cdfca8572fe34493de68ea756a4b3ee7c70ec17714a925c,d6100cfa5d3571a1ff2c6b7927e7a5cc702b95806e13423a2da32c102d68c20d,0,2.0
mnist,multi,43,100,9a9ddeebd4e6fafd92a189c6679c575a23cf1a7b9e1a3e82494dfb8f6df4600d,dd9763b90ad8d04cbd11489eac3be3343cddd9673d2d04b9fddc384701688bcb,107efb320922a5311b91b47974f03876544bfaeb39719aa1e062bfdf103fd6e0,0,2.0
mnist,multi,43,500,272a423dce812bdc5da48a9ec90631c345af7c40a911d3cf8da686bc14cba7ec,11ca0f9c01a40d126fecaa09efb9c1e0037045a94c28724fd0753f5cf81193fb,107efb320922a5311b91b47974f03876544bfaeb39719aa1e062bfdf103fd6e0,0,2.0
mnist,multi,43,1000,3ad42bcf3ff50ed1074d47600568a8b850e600a8f231ac09206e20c675d4a5e2,ca3db92fd9f9868658da570a6a731e9c20faeb3f17a1381485acb8e8c1cac814,107efb320922a5311b91b47974f03876544bfaeb39719aa1e062bfdf103fd6e0,0,2.0
mnist,multi,43,5000,429a0d33da6605adb1b45f5a5f10e90b2f02f0390b21de835d81e5a4250b518a,b8c2997559103d4906024f71aa6584ff1b80faa47ea0a53bac126a193c473bd3,107efb320922a5311b91b47974f03876544bfaeb39719aa1e062bfdf103fd6e0,0,2.0
mnist,multi,43,10000,107efb320922a5311b91b47974f03876544bfaeb39719aa1e062bfdf103fd6e0,0ef12c320cfa1f93a852406370e80eb0b1e4b1731704727c3a1f9b691f1c9e9f,107efb320922a5311b91b47974f03876544bfaeb39719aa1e062bfdf103fd6e0,0,2.0
mnist,multi,44,100,8f401c46e5bc457ba9d25d09da1f419e4a51d0efd182ba16b9ef68918cbe7140,02672db1151865f69e8ed692173c20d20a5bad3c440cc739c68fda9831f01eb1,0c710d4d5b2c5e064b2444fd8c0541add01b6425e0bc35a453b2dc93767844dd,0,2.0
mnist,multi,44,500,b3db1590ce0f6f8d44070b38aa6cf8faa586a99d66bcb50f14617443ff2e63b0,52779ac8ba00bf0e6d43917613380f8bae3bf4fde8d6adfd8b98ccb9807abf28,0c710d4d5b2c5e064b2444fd8c0541add01b6425e0bc35a453b2dc93767844dd,0,2.0
mnist,multi,44,1000,beb76360e70048c222575ecf28fb3090cc7149ed8c4a72247d91e0a5598fb50e,bf97066a3547a76a193ab3866fc75d66744c01c88164615a3e638716b2a74633,0c710d4d5b2c5e064b2444fd8c0541add01b6425e0bc35a453b2dc93767844dd,0,2.0
mnist,multi,44,5000,34f7a36a5a656e7442fd488b9be649c06c7cdbd669cb60075df0feb5ddf5c4fb,6e49985820f7c9db14e7a42cbbfc23bba262bfde44321e80a3521d0cdbb98e88,0c710d4d5b2c5e064b2444fd8c0541add01b6425e0bc35a453b2dc93767844dd,0,2.0
mnist,multi,44,10000,0c710d4d5b2c5e064b2444fd8c0541add01b6425e0bc35a453b2dc93767844dd,a96d9b64b59dbeb37ade490f77bbe3b7b6d8967aca976988020a1c572b3711a9,0c710d4d5b2c5e064b2444fd8c0541add01b6425e0bc35a453b2dc93767844dd,0,2.0
mnist,single,42,100,0cef88d851db2091670955305e7868340ae2028f964f90f898f73e5e3994c3cd,17155aeb44f8bda0bf9f4b109d7ea93e1ea18a25ae5cb3a630ad55a71c82203b,d6100cfa5d3571a1ff2c6b7927e7a5cc702b95806e13423a2da32c102d68c20d,0,1.0
mnist,single,42,500,4e8ffb47a54ee180562fe04600aadf514cfcbe275a49ec5ac04626a32e0f8d15,2fbf40d718a7ca759ad4e22feb09dbf015369fa6c86ec3ea3e7f3410b5bf5403,d6100cfa5d3571a1ff2c6b7927e7a5cc702b95806e13423a2da32c102d68c20d,0,1.0
mnist,single,42,1000,a47911cb7fe67bdd4ff22575849b5f15f023ef39eb78fc1eacb064ff60feb226,b9911429f30f1d5c8b6cd999c2e0b31d2c4af12a9206c75bfa77d1307749b7d6,d6100cfa5d3571a1ff2c6b7927e7a5cc702b95806e13423a2da32c102d68c20d,0,1.0
mnist,single,42,5000,2a3625de78f960a0255407c167a7af8346444a5d2ed34c26e19241c7a426cb49,193f013239a4f0a41c547559e97a99aa587711de610af28b73905ccc7ce03709,d6100cfa5d3571a1ff2c6b7927e7a5cc702b95806e13423a2da32c102d68c20d,0,1.0
mnist,single,42,10000,d6100cfa5d3571a1ff2c6b7927e7a5cc702b95806e13423a2da32c102d68c20d,c675c07ca4b404432cdfca8572fe34493de68ea756a4b3ee7c70ec17714a925c,d6100cfa5d3571a1ff2c6b7927e7a5cc702b95806e13423a2da32c102d68c20d,0,1.0
mnist,single,43,100,9a9ddeebd4e6fafd92a189c6679c575a23cf1a7b9e1a3e82494dfb8f6df4600d,dd9763b90ad8d04cbd11489eac3be3343cddd9673d2d04b9fddc384701688bcb,107efb320922a5311b91b47974f03876544bfaeb39719aa1e062bfdf103fd6e0,0,1.0
mnist,single,43,500,272a423dce812bdc5da48a9ec90631c345af7c40a911d3cf8da686bc14cba7ec,11ca0f9c01a40d126fecaa09efb9c1e0037045a94c28724fd0753f5cf81193fb,107efb320922a5311b91b47974f03876544bfaeb39719aa1e062bfdf103fd6e0,0,1.0
mnist,single,43,1000,3ad42bcf3ff50ed1074d47600568a8b850e600a8f231ac09206e20c675d4a5e2,ca3db92fd9f9868658da570a6a731e9c20faeb3f17a1381485acb8e8c1cac814,107efb320922a5311b91b47974f03876544bfaeb39719aa1e062bfdf103fd6e0,0,1.0
mnist,single,43,5000,429a0d33da6605adb1b45f5a5f10e90b2f02f0390b21de835d81e5a4250b518a,b8c2997559103d4906024f71aa6584ff1b80faa47ea0a53bac126a193c473bd3,107efb320922a5311b91b47974f03876544bfaeb39719aa1e062bfdf103fd6e0,0,1.0
mnist,single,43,10000,107efb320922a5311b91b47974f03876544bfaeb39719aa1e062bfdf103fd6e0,0ef12c320cfa1f93a852406370e80eb0b1e4b1731704727c3a1f9b691f1c9e9f,107efb320922a5311b91b47974f03876544bfaeb39719aa1e062bfdf103fd6e0,0,1.0
mnist,single,44,100,8f401c46e5bc457ba9d25d09da1f419e4a51d0efd182ba16b9ef68918cbe7140,02672db1151865f69e8ed692173c20d20a5bad3c440cc739c68fda9831f01eb1,0c710d4d5b2c5e064b2444fd8c0541add01b6425e0bc35a453b2dc93767844dd,0,1.0
mnist,single,44,500,b3db1590ce0f6f8d44070b38aa6cf8faa586a99d66bcb50f14617443ff2e63b0,52779ac8ba00bf0e6d43917613380f8bae3bf4fde8d6adfd8b98ccb9807abf28,0c710d4d5b2c5e064b2444fd8c0541add01b6425e0bc35a453b2dc93767844dd,0,1.0
mnist,single,44,1000,beb76360e70048c222575ecf28fb3090cc7149ed8c4a72247d91e0a5598fb50e,bf97066a3547a76a193ab3866fc75d66744c01c88164615a3e638716b2a74633,0c710d4d5b2c5e064b2444fd8c0541add01b6425e0bc35a453b2dc93767844dd,0,1.0
mnist,single,44,5000,34f7a36a5a656e7442fd488b9be649c06c7cdbd669cb60075df0feb5ddf5c4fb,6e49985820f7c9db14e7a42cbbfc23bba262bfde44321e80a3521d0cdbb98e88,0c710d4d5b2c5e064b2444fd8c0541add01b6425e0bc35a453b2dc93767844dd,0,1.0
mnist,single,44,10000,0c710d4d5b2c5e064b2444fd8c0541add01b6425e0bc35a453b2dc93767844dd,a96d9b64b59dbeb37ade490f77bbe3b7b6d8967aca976988020a1c572b3711a9,0c710d4d5b2c5e064b2444fd8c0541add01b6425e0bc35a453b2dc93767844dd,0,1.0
fmnist,iid,42,100,26924583bb0bdd0fa47adde32a483b92553f405f4ea384cfcca62779508d986c,c876040935077f721836d25bf060a8d46071da3dc3de88e8bb544b6fab91e865,aa87fb2b4d24946ad5c94ef0f1a84aade8c60c333a8e794e81c010e4a202506a,10,8.4
fmnist,iid,42,500,a6176e582ab99f5551c2dc20778f46c1e03b3b7f566f9f9ff91ea235a35a29ca,230855e03aa98dd7c6dc92f7262759d46ad9731926cc8dc58e673f358af99d31,aa87fb2b4d24946ad5c94ef0f1a84aade8c60c333a8e794e81c010e4a202506a,50,8.4
